,sample_ids,pheno2
941,1062,11.70127453412752
943,1066,10.126896132187431
944,1070,11.232626231523671
945,1158,11.299944224096034
947,1254,16.643794334997324
948,1257,9.323197017847331
949,1313,12.710676001432168
950,1317,16.472974606832402
951,1552,11.347055548655613
957,1684,13.96133029279741
958,1739,14.06795517315453
960,1756,15.183379935556385
963,1797,13.293625832840226
964,1819,13.918709829397953
965,1820,14.945834528402957
966,1829,10.36361252252156
967,1834,14.370469099179616
969,1851,14.58547073364335
973,1890,5.296734655786409
976,1943,13.897166587835883
977,1954,8.272895523873562
978,2016,8.120771785258
979,2017,14.191029859180578
980,2031,14.04443157272901
981,2053,15.792647977881252
982,2057,16.985817810080793
984,2091,14.796449840552228
985,2106,15.83625362908207
987,2141,14.756714915840424
988,2159,15.441468912432953
990,2171,11.559050590546118
991,2191,15.933789427215286
992,2202,6.509787143023602
993,2212,13.629008815537723
998,2285,14.52473203475389
1003,4779,5.913911037664755
1004,4807,8.253758492532015
1006,4840,7.514794907933536
1008,4884,7.268465899756261
1009,4900,9.470059241316864
1012,5023,8.077217382534629
1013,5104,7.170072735346354
1014,5151,11.040795996192363
1015,5165,9.283067459565393
1016,5210,4.0090522288365324
1017,5236,7.287572624984685
1018,5249,14.788918160672582
1019,5253,7.001878603795635
1020,5276,3.8881880498174057
1021,5279,11.400987661737886
